name,address,city,zip,capacity,license_type,status,state,license_number
Four Star Express-Fernbrook,9661 FERNBROOK LN N,Maple Grove,55369-9745,0,Certified Child Care Center,Active,MN,1089683
Four Star Express-Weaver Lake,15900 WEAVER LAKE RD,Maple Grove,55311-1432,0,Certified Child Care Center,Active,MN,1089637
Four Star Express-Rice Lake,13755 89TH AVE N,Maple Grove,55369-9503,0,Certified Child Care Center,Active,MN,1089685
Four Star Express-Woodland,4501 OAK GROVE PKWY N,Brooklyn Park,55443-4063,0,Certified Child Care Center,Active,MN,1089630
FPS Tiger Club Childcare,6085 7TH ST NE,Fridley,55432-5534,0,Certified Child Care Center,Active,MN,1089489
Four Star Express-Rush Creek,8801 COUNTY ROAD 101 N,Maple Grove,55311-4310,0,Certified Child Care Center,Active,MN,1089636
FPS Tiger Club Childcare PREK,6085 7TH ST NE,Fridley,55432-5534,0,Certified Child Care Center,Active,MN,1114006
Franklin Elementary School,1801 9TH AVE SE,Rochester,55904-5473,0,Certified Child Care Center,Active,MN,1091562
Gage Elementary School,1300 40TH ST NW,Rochester,55901-1343,0,Certified Child Care Center,Active,MN,1091563
Gibbs Elementary School,5525 56TH ST NW,Rochester,55901-3916,0,Certified Child Care Center,Active,MN,1092797
Glacial Hills Elementary Preschool,610 W 6TH ST,Starbuck,56381-9782,0,Certified Child Care Center,Active,MN,1097066
Harrison Rec Plus,503 IRVING AVE N,Minneapolis,55405-1289,0,Certified Child Care Center,Active,MN,1104919
Harold Mezile North Community YMCA,1711 W BROADWAY AVE,Minneapolis,55411-2450,0,Certified Child Care Center,Active,MN,1089499
Grey Cloud Kids Club,9525 INDIAN BLVD S,Cottage Grove,55016-3603,0,Certified Child Care Center,Active,MN,1091498
Galaxy Kids Program,7650 COUNTY ROAD 50,Rockford,55373-8100,0,Certified Child Care Center,Active,MN,1089142
Hillside Kids Club,8177 HILLSIDE TRL S,Cottage Grove,55016-3270,0,Certified Child Care Center,Active,MN,1091504
Hoover Elementary School,369 ELTON HILLS DR NW,Rochester,55901-2439,0,Certified Child Care Center,Active,MN,1091559
Hopkins Extended Half Day Preschool - Alice Smith,801 MINNETONKA MILLS RD,Hopkins,55343-7266,0,Certified Child Care Center,Active,MN,1112687
Holy Spirit Catholic School,515 ALBERT ST S,Saint Paul,55116-1611,0,Certified Child Care Center,Active,MN,1089542
Hopkins Extended Half Day Preschool - Eisenhower,1001 HIGHWAY 7,Hopkins,55305-4737,0,Certified Child Care Center,Active,MN,1110508
Hopkins Extended Half Day Preschool - Gatewood,14900 GATEWOOD DR,Minnetonka,55345-6731,0,Certified Child Care Center,Active,MN,1095985
Hopkins Extended Half Day Preschool - Harley,125 MONROE AVE S,Hopkins,55343-8405,0,Certified Child Care Center,Active,MN,1089443
Hopkins Extended Half Day Preschool - Tanglen,10901 HILLSIDE LN W,Minnetonka,55305-2577,0,Certified Child Care Center,Active,MN,1095988
Hopkins Extended Half Day Preschool - Meadowbrook,5430 GLENWOOD AVE,Golden Valley,55422-5120,0,Certified Child Care Center,Active,MN,1095987
IGH Spartan Kids Care-Salem Hills,5899 BABCOCK TRL,Inver Grove Heights,55077-2112,0,Certified Child Care Center,Active,MN,1089203
IGH Spartan Kids Care-Pine Bend,9875 INVER GROVE TRL,Inver Grove Heights,55076-3823,0,Certified Child Care Center,Active,MN,1089123
Ind School Dist 786-Bertha Hewitt School,310 CENTRAL AVE S,Bertha,56437-1122,0,Certified Child Care Center,Active,MN,1089290
IGH Spartan Kids Care-Hilltop,3201 68TH ST E,Inver Grove Heights,55076-2164,0,Certified Child Care Center,Active,MN,1089224
Ind School Dist 177,1400 17TH ST,Windom,56101-1147,0,Certified Child Care Center,Active,MN,1089171
Independence Elementary,701 MINNESOTA AVE,Big Lake,55309-8800,0,Certified Child Care Center,Active,MN,1089239
ISD #728 Edventure Club-Hassan,14055 ORCHID AVE,Rogers,55374-7515,0,Certified Child Care Center,Active,MN,1089131
ISD #728 EdVenture Club-Handke,1170 MAIN ST NW,Elk River,55330-2524,0,Certified Child Care Center,Active,MN,1089731
ISD #728 EdVenture Club-Meadowvale,12701 ELK LAKE RD NW,Elk River,55330-2439,0,Certified Child Care Center,Active,MN,1089539
ISD #728 EdVenture Club-Otesgo,8125 NE RIVER RD,Elk River,55330-6671,0,Certified Child Care Center,Active,MN,1089130
ISD #728 EdVenture Club-Prairie View,12220 80TH ST NE,Otsego,55330-6916,0,Certified Child Care Center,Active,MN,1091653
ISD #728 EdVenture Club-Rogers,12521 MAIN ST,Rogers,55374-9192,0,Certified Child Care Center,Active,MN,1089508
ISD #728 EdVenture Club-Lincoln,600 SCHOOL ST NW,Elk River,55330-1343,0,Certified Child Care Center,Active,MN,1089312
ISD #728 EdVenture Club-Twin Lakes,10051 191ST AVE NW,Elk River,55330-5083,0,Certified Child Care Center,Active,MN,1089594
ISD #777 Discovery Kids,1800 NEVADA AVE,Benson,56215-1023,0,Certified Child Care Center,Active,MN,1089578
ISD #728 EdVenture Club-Westwood,13651 4TH AVE S,Zimmerman,55398-4515,0,Certified Child Care Center,Active,MN,1089735
ISD #728-EdVenture Club-Parker,500 SCHOOL ST NW,Elk River,55330-1341,0,Certified Child Care Center,Active,MN,1089540
ISD #728 EdVenture Club-Zimmerman,25959 4TH ST W,Zimmerman,55398-9013,0,Certified Child Care Center,Active,MN,1089732
ISD 006-Kids Choice-Kaposia Educ Ctr,1225 1ST AVE S,SOUTH SAINT PAUL,55075-3253,0,Certified Child Care Center,Active,MN,1089225
ISD 006-Kids Choice-Lincoln Center,357 9TH AVE N,SOUTH SAINT PAUL,55075-1907,0,Certified Child Care Center,Active,MN,1089226
ISD 0477 Preschool Child Care,706 1ST ST,Princeton,55371-1502,0,Certified Child Care Center,Active,MN,1089701
ISD 111 - Kids Company,313 ANGEL AVE NW,Watertown,55388-8257,0,Certified Child Care Center,Active,MN,1089207
ISD 12  Kids Club Blue Heron Elementary,405 ELM ST,Lino Lakes,55014-1282,0,Certified Child Care Center,Active,MN,1089450
ISD 12 Kids Club Centennial Elementary,4657 NORTH RD,Circle Pines,55014-2071,0,Certified Child Care Center,Active,MN,1089308
ISD 0477 Princeton Schools-Tiger Club,1206 7TH AVE N PRINCETON    MN,Princeton,55371-1002,0,Certified Child Care Center,Active,MN,1089161
ISD 12 Kids Club Centerville Elementary,1721 WESTVIEW AVE,Centerville,55038-9711,0,Certified Child Care Center,Active,MN,1089451
ISD 12 Kids Club Rice Lake Elementary,575 BIRCH ST,Circle Pines,55014-1369,0,Certified Child Care Center,Active,MN,1089453
ISD 12 Kids Club Golden Lake Elementary,1 SCHOOL RD,Circle Pines,55014-1783,0,Certified Child Care Center,Active,MN,1089452
ISD 13 Col Hght Adv Club~ Family Ctr,5575 FILLMORE ST NE,Fridley,55432-5764,0,Certified Child Care Center,Active,MN,1089185
ISD 13 Col Hght Adv Club~Highland,1500 49TH AVE NE,Columbia Heights,55421-1941,0,Certified Child Care Center,Active,MN,1089772
ISD 16 Learning Venture Northpoint,2350 124TH CT NE,Blaine,55449-5177,0,Certified Child Care Center,Active,MN,1089449
ISD 13 Col Hght Adv Club~Valley View,800 49TH AVE NE,Columbia Heights,55421-1708,0,Certified Child Care Center,Active,MN,1089774
ISD 16 Learning Ventures Centerview,10365 DAVENPORT ST NE,Blaine,55449-3719,0,Certified Child Care Center,Active,MN,1089447
ISD 16 Learning Ventures Woodcrest,880 OSBORNE RD NE,Fridley,55432-2833,0,Certified Child Care Center,Active,MN,1089298
ISD 16 Learning Venture Park Terrace,8301 TERRACE RD NE,Spring Lake Park,55432-1159,0,Certified Child Care Center,Active,MN,1089448
ISD 191 Project Kids Edward Neill,13409 UPTON AVE S,Burnsville,55337-2170,0,Certified Child Care Center,Active,MN,1089293
ISD 191 Project Kids Harriet Bishop,14400 OCONNELL RD,Savage,55378-2858,0,Certified Child Care Center,Active,MN,1089186
ISD 191 Project Kids Rahn,4424 SANDSTONE DR,Saint Paul,55122-2026,0,Certified Child Care Center,Active,MN,1089246
ISD 191 Project Kids - William Byrne,11608 RIVER HILLS DR,Burnsville,55337-3276,0,Certified Child Care Center,Active,MN,1089291
ISD 191 Project Kids Hidden Valley,13875 GLENDALE RD,Savage,55378-2052,0,Certified Child Care Center,Active,MN,1089103
ISD 191 Project Kids Gideon Pond,613 E 130TH ST,Burnsville,55337-3672,0,Certified Child Care Center,Active,MN,1089231
ISD 192 Kid Connection-Farmington Elem,500 MAPLE ST,Farmington,55024-1565,0,Certified Child Care Center,Active,MN,1089170
ISD 191 Project Kids Sky Oaks,100 E 134TH ST,Burnsville,55337-4009,0,Certified Child Care Center,Active,MN,1089152
ISD 192 Kid Connection-Akin Road Elem,5231 195TH ST W,Farmington,55024-8802,0,Certified Child Care Center,Active,MN,1089200
ISD 192 Kid Connection-Meadowview,6100 195TH ST W,Farmington,55024-9036,0,Certified Child Care Center,Active,MN,1089199
ISD 191 Project Kids Vista View,13109 COUNTY ROAD 5,Burnsville,55337-2340,0,Certified Child Care Center,Active,MN,1089151
ISD 192 Kid Connection-North Trail,5580 170TH ST W,Farmington,55024-8827,0,Certified Child Care Center,Active,MN,1089201
ISD 192 Kid Connection-Riverview,4100 208TH ST W,Farmington,55024-8886,0,Certified Child Care Center,Active,MN,1089502
ISD 192 Stepping Stones - TLLC,510 WALNUT ST,Farmington,55024-1284,0,Certified Child Care Center,Active,MN,1105776
ISD 197  School Age Care - Heritage,121 BUTLER AVE W,Saint Paul,55118-1308,0,Certified Child Care Center,Active,MN,1089172
ISD 192 Stepping Stones - Meadowview,6100 195TH ST W,Farmington,55024-9036,0,Certified Child Care Center,Active,MN,1105775
ISD 197 School Age Care - Friendly Hills,701 MENDOTA HEIGHTS RD,Mendota Heights,55120-1681,0,Certified Child Care Center,Active,MN,1089503
ISD 192 Stepping Stones - Riverview,4100 208TH ST W,Farmington,55024-8886,0,Certified Child Care Center,Active,MN,1105773
ISD 197 School Age Care - Mendota Elem,1979 SUMMIT LN,Mendota Heights,55118-4155,0,Certified Child Care Center,Active,MN,1089505
ISD 197 School Age Care - Moreland Elem,217 MORELAND AVE W,West St Paul,55118-2144,0,Certified Child Care Center,Active,MN,1089504
ISD 197 School Age Care - Somerset Elem,1355 DODD RD,Saint Paul,55118-1941,0,Certified Child Care Center,Active,MN,1089242
ISD 197 School Age Care - Pilot Knob,1436 LONE OAK RD,Eagan,55121-1112,0,Certified Child Care Center,Active,MN,1089506
ISD 197 School Age Care - Garlough,1740 CHARLTON ST,West St Paul,55118-3811,0,Certified Child Care Center,Active,MN,1089507
ISD 256-Kids Junction - Sunnyside,1669 SOUTHWOOD AVE,Red Wing,55066-3200,0,Certified Child Care Center,Active,MN,1089232
ISD 271 Kids' Safari - Normandale Hills,9501 TOLEDO AVE S,Bloomington,55437-2052,0,Certified Child Care Center,Active,MN,1089477
ISD 271 Kids' Safari - Hillcrest,9301 THOMAS RD S,Bloomington,55431-2471,0,Certified Child Care Center,Active,MN,1089475
ISD 271 Kids' Safari - Olson Elementary,4501 W 102ND ST,Bloomington,55437-2610,0,Certified Child Care Center,Active,MN,1089479
ISD 271 Kids' Safari - Oak Grove El,1301 W 104TH ST,Bloomington,55431-3163,0,Certified Child Care Center,Active,MN,1089478
ISD 271 Kids' Safari - Poplar Bridge,8401 PALMER AVE S,Bloomington,55437-1337,0,Certified Child Care Center,Active,MN,1089480
ISD 271 Kids' Safari - Ridgeview,9400 NESBITT AVE S,Bloomington,55437-1910,0,Certified Child Care Center,Active,MN,1089483
ISD 271 Kids' Safari - Westwood,3701 W 108TH ST,Bloomington,55431-3605,0,Certified Child Care Center,Active,MN,1089482
ISD 281 Adventure Club - SEA,1751 KELLY DR,Golden Valley,55427-4117,0,Certified Child Care Center,Active,MN,1089610
ISD 255 - Pine Island - Cool Panthers,8749 COUNTY ROAD 5 NW,Pine Island,55963-0000,0,Certified Child Care Center,Active,MN,1089803
ISD 281 Adventure Club Forest,6800 47TH AVE N,Crystal,55428-4625,0,Certified Child Care Center,Active,MN,1089351
ISD 281 Adventure Club Meadow Lake Elem.,8525 62ND AVE N,Minneapolis,55428-2724,0,Certified Child Care Center,Active,MN,1089173
ISD 281 Adventure Club Lakeview,4110 LAKE DRIVE AVE N,Robbinsdale,55422-1592,0,Certified Child Care Center,Active,MN,1089352
ISD 281 Adventure Club Pilgrim Lane,3725 PILGRIM LN N,Plymouth,55441-1681,0,Certified Child Care Center,Active,MN,1090812
ISD 281 Adventure Club Noble,2601 NOBLE AVE N,Golden Valley,55422-3607,0,Certified Child Care Center,Active,MN,1089354
ISD 281 Adventure Club Neill,6600 MEDICINE LAKE RD,Crystal,55427-3042,0,Certified Child Care Center,Active,MN,1089353
ISD 281 Adventure Club Zachary Lane,4350 ZACHARY LN N,Minneapolis,55442-2802,0,Certified Child Care Center,Active,MN,1089358
ISD 281 Adventure Club Sonnesyn,3421 BOONE AVE N,New Hope,55427-1848,0,Certified Child Care Center,Active,MN,1089356
ISD 281 Early Adventures Pilgrim,3725 PILGRIM LN N,Plymouth,55441-1681,0,Certified Child Care Center,Active,MN,1089699
ISD 281 Adventure Club Spanish Immersion,8808 MEDICINE LAKE RD,New Hope,55427-3233,0,Certified Child Care Center,Active,MN,1089357
ISD 281 Early Adventures Neill,6600 MEDICINE LAKE RD,Crystal,55427-3042,0,Certified Child Care Center,Active,MN,1102997
ISD 281 The Basement at PMS,10011 36TH AVE N,Plymouth,55441-2441,0,Certified Child Care Center,Active,MN,1115834
ISD 281 The Basement at SMS,2400 SANDBURG LN,Golden Valley,55427-3616,0,Certified Child Care Center,Active,MN,1097142
ISD 282 St. Anthony New Brighton Comm. Center Preschool,3301 SILVER LAKE RD NE,Minneapolis,55418-1667,0,Certified Child Care Center,Active,MN,1089294
ISD 282 Wilshire Park Elementary School - Village Kids,3600 HIGHCREST RD NE,Saint Anthony,55418-1759,0,Certified Child Care Center,Active,MN,1097319
ISD 492 - Kids Korner - Banfield,301 17TH ST SW,Austin,55912-1659,0,Certified Child Care Center,Active,MN,1089361
ISD 492 - Kids Korner - Woodson,1601 4TH ST SE,Austin,55912-3578,0,Certified Child Care Center,Active,MN,1089780
ISD 622 Adventure Conn-Cowern School,2131 MARGARET ST N,North St Paul,55109-4142,0,Certified Child Care Center,Active,MN,1089212
ISD 622 Adventure Conn-Weaver Elem.,2135 BIRMINGHAM ST,Maplewood,55109-3511,0,Certified Child Care Center,Active,MN,1089214
ISD 492-Kids Korner- Southgate,301 3RD ST NW,Austin,55912-3128,0,Certified Child Care Center,Active,MN,1089778
ISD 622 Adventure Connection Carver,2680 UPPER AFTON RD E,Maplewood,55119-4752,0,Certified Child Care Center,Active,MN,1089215
ISD 622 EPIC Connection Skyview,1100 HERON AVE N,Oakdale,55128-5357,0,Certified Child Care Center,Active,MN,1089460
ISD 622 Adventure Conn-Richardson Elem,2400 17TH AVE E,North St Paul,55109-0000,0,Certified Child Care Center,Active,MN,1089213
ISD 622 Adventure Connection Castle,6675 50TH ST N,Oakdale,55128-1711,0,Certified Child Care Center,Active,MN,1089347
ISD 623 Friendship Conn-Falcon Heights,1393 GARDEN AVE,Saint Paul,55113-6152,0,Certified Child Care Center,Active,MN,1089180
ISD 622 Adventure Connection Eagle Point,7850 15TH ST N,Oakdale,55128-5603,0,Certified Child Care Center,Active,MN,1089461
ISD 623 Friendship Conn-Little Canada,400 ELI RD,Saint Paul,55117-1108,0,Certified Child Care Center,Active,MN,1089181
ISD 623 Friendship Conn-Central Park,535 COUNTY ROAD B2 W,Saint Paul,55113-3519,0,Certified Child Care Center,Active,MN,1089175
ISD 623 -Friendship Conn.-Brimhall,1744 COUNTY ROAD B W,Saint Paul,55113-4023,0,Certified Child Care Center,Active,MN,1089174
ISD 623-Friendship Conn.-Edgerton,1929 EDGERTON ST,Saint Paul,55117-2111,0,Certified Child Care Center,Active,MN,1089176
ISD 623 Friendship Conn-Parkview,701 COUNTY ROAD B W,Saint Paul,55113-4526,0,Certified Child Care Center,Active,MN,1089182
ISD 623 Friendship Conn.-Emmet D William,955 COUNTY ROAD D W,Saint Paul,55126-3747,0,Certified Child Care Center,Active,MN,1089178
ISD 624 - Birch Lake Extended Day,1616 BIRCH LAKE AVE,Saint Paul,55110-2237,0,Certified Child Care Center,Active,MN,1089216
ISD 624 - Matoska Extended Day,2530 SPRUCE PL,Saint Paul,55110-4928,0,Certified Child Care Center,Active,MN,1089221
ISD 624 - Lakeaires Extended Day,3963 VAN DYKE ST,Saint Paul,55110-4352,0,Certified Child Care Center,Active,MN,1089217
ISD 624 - Oneka Extended Day,4888 HERITAGE PKWY N,Hugo,55038-8622,0,Certified Child Care Center,Active,MN,1089219
ISD 624 - Vadnais Heights Extended Day,3645 CENTERVILLE RD,Saint Paul,55127-7122,0,Certified Child Care Center,Active,MN,1089222
ISD 624 - Willow Lane Extended Day,3375 WILLOW AVE,Saint Paul,55110-5334,0,Certified Child Care Center,Active,MN,1089223
ISD 624 - Lincoln,1961 6TH ST,Saint Paul,55110-6839,0,Certified Child Care Center,Active,MN,1089218
ISD 831 Maroon & Gold  Kids Club SAC Scandia Elementary,14351 SCANDIA TRL N,Scandia,55073-6001,0,Certified Child Care Center,Active,MN,1089640
ISD 624-Central Middle School FLEX,4857 BLOOM AVE,White Bear Lake,55110-2731,0,Certified Child Care Center,Active,MN,1100246
ISD 831 Maroon & Gold Kids Club SAC Columbus Elementary,17345 NOTRE DAME ST NE,Forest Lake,55025-8324,0,Certified Child Care Center,Active,MN,1089605
ISD 831 Maroon & Gold Kids Club SAC Lino Lakes Elementary,725 MAIN ST,Lino Lakes,55014-2108,0,Certified Child Care Center,Active,MN,1089603
ISD 831 Maroon & Gold Kids Club SAC Forest Lake,408 4TH ST SW,Forest Lake,55025-1540,0,Certified Child Care Center,Active,MN,1089639
ISD 831 Maroon & Gold Kids Club SAC Linwood Elementary,21900 TYPO CREEK DR NE,Wyoming,55092-9451,0,Certified Child Care Center,Active,MN,1089604
ISD 831 Maroon & Gold Kids Club SAC Forest View Elemen,620 4TH ST SW,Forest Lake,55025-1544,0,Certified Child Care Center,Active,MN,1089606
ISD 831 Maroon & Gold Kids Club SAC Wyoming Elementary,25701 FOREST BLVD,Wyoming,55092-7308,0,Certified Child Care Center,Active,MN,1089509
ISD 832 Mahtomedi Adventure Club (O.H Anderson),666 WARNER AVE S,Mahtomedi,55115-6882,0,Certified Child Care Center,Active,MN,1092398
ISD 834 - Adventure Club - Lily Lake,2003 WILLARD ST W,Stillwater,55082-5553,0,Certified Child Care Center,Active,MN,1091444
ISD 832 Mahtomedi Adventure Club (Wildwood),8698 75TH ST N,Stillwater,55082-4522,0,Certified Child Care Center,Active,MN,1089455
ISD 834 Adventure Club - Rutherford,115 RUTHERFORD RD,Stillwater,55082-4524,0,Certified Child Care Center,Active,MN,1089574
ISD 834 Adventure Club - ECFC,1111 HOLCOMBE ST S,Stillwater,55082-5736,0,Certified Child Care Center,Active,MN,1089619
ISD 623-Friendship Conn-Harambee School,30 COUNTY ROAD B E MAPLEWOOD ROAD B E,Saint Paul,55117-1927,0,Certified Child Care Center,Active,MN,1089631
ISD 834 Adventure Club- Afton Lakeland,475 SAINT CROIX TRL S,Lakeland,55043-9304,0,Certified Child Care Center,Active,MN,1091441
ISD 834-Adventure Club- Lake Elmo,11030 STILLWATER BLVD N,Lake Elmo,55042-9501,0,Certified Child Care Center,Active,MN,1091443
ISD 834 Adventure Club-Stonebridge,900 OWENS ST N,Stillwater,55082-4451,0,Certified Child Care Center,Active,MN,1089104
ISD 834 Adventure Club- Andersen,309 4TH ST N,Bayport,55003-1161,0,Certified Child Care Center,Active,MN,1089572
ISD 911 Adventure Center Child Care SA-Isanti,301 HERITAGE BLVD NW,Isanti,55040-7712,0,Certified Child Care Center,Active,MN,1089456
ISD 834-Adventure Club- Brookview,11099 BROOKVIEW RD,Woodbury,55129-9241,0,Certified Child Care Center,Active,MN,1091442
ISD 91 Barnum School Age Care,3813 E NORTH ST,Barnum,55707-9698,0,Certified Child Care Center,Active,MN,1089337
